Model,Accuracy
CatBoost,0.986013986013986
AdaBoost,0.9790209790209791
RandomForest,0.965034965034965
Stacking,0.958041958041958
LightGBM,0.958041958041958
XGBoost,0.951048951048951
GradientBoosting,0.951048951048951
HistGradientBoosting,0.951048951048951
DecisionTree,0.9230769230769231
LogisticRegression,0.9090909090909091
NaiveBayes,0.8251748251748252
KNN,0.8111888111888111
SVM,0.5314685314685315
